106026,ic taimyrin athene,f,,,normal,1.05
106100,ic jamaloss boris von innocent white,m,330399,107518,normal,2.14
106091,vretens desideria drömrex,f,241291,358440,normal,20.5
105962,ip & ec qiri's brown focus,m,,,normal,32.9
106173,rw grc meowacres yazu von day alara sphynx,m,,,normal,8.54
106176,ch dragonlord marouk,m,,,normal,22.7
106249,benzn nemi,f,120976,102713,normal,2.74
106103,big giants resort's princessa eärwen,f,335767,190010,normal,13.9
106202,blair of midway,m,,,normal,29.4
106260,ch cheburashka antosha,m,,,normal,17.1
106374,ylletrollets pongolina,f,126663,379992,normal,6.75
106380,ch witchbreeds mauna loa,f,,,normal,13.3
106317,ic odenkatten's hede,f,332371,285832,normal,34.1
106282,ic oddenvejen's ishan,m,,,normal,31
106490,sinornatas way of hapiness,f,105343,251419,normal,7.08
106438,tica rw sgca/cfa ch gp epona aine of finnishline,f,168850,271331,normal,1.87
106504,udklittens amelia,f,,,normal,13.9
106389,quaade gårdens gloria,f,280220,301265,normal,30.6
106417,chat botté coonfetti,f,,,normal,12.2
106571,pr ic europa's nutte gris,f,,,normal,6.84
106529,bashyira av svalbard,f,276068,117929,normal,5.34
106530,funtimes honey pie,f,193871,259861,normal,11
106541,patchwork chokotoff,f,349306,325473,normal,8.34
106559,ch golden's zeke,m,,,normal,17.3
106596,harry of flaming moon,m,,,normal,8.9
106601,bellacoon daylight,f,268222,131176,normal,11
106618,jappcoon lasse liten blues,m,348835,284388,normal,7.21
106685,ec dreamway's chicago,m,347008,210295,normal,18.3
106635,fife ec fort knox miss b haven,f,,,normal,12.5
106692,wch mcraggz charming fatso,m,,,normal,40.6
106797,trollgumman's okelani olathe,f,340590,111573,normal,2.63
106838,dsm ep ec wytopitlock gershwin,m,183257,255235,normal,19
106850,ic wytopitlock image of relief,f,,,normal,16.1
106708,blitz chenoa,m,,,normal,9.65
106966,ch spirit of new heaven's kiara,f,,,normal,2.65
106967,tender fils de la vallee des dieux,m,363089,113806,normal,16.2
106936,spike makio,m,,,normal,11.6
106893,yowie's garfield,m,,,normal,14.3
106882,nashville's barbi benton,f,344555,197669,normal,32.9
107036,gårdös lovely bruce,m,,,normal,46.8
