ID,Name,Sex,Sire,Dam,HCM
1266395,Olivia vom Schlosspavillon,F,1266396,1266397,Normal
1266398,Spirit of New Heaven's Victoria,F,866046,974271,Normal
1266401,Kuz'kin Dom Praskovya Page,F,863789,1185684,Normal
1266403,Nyusha Neva's Mystery,F,1134958,1191963,Normal
1266419,Halden Coon's Zisel,F,959324,1088446,Normal
1266424,Little Violet's Good News,F,1189304,1189302,Normal
1266421,Valier's Juno,F,,,Normal
1266423,Little Violet's Glamour Girl,F,1189304,1189302,Normal
1266429,SwingPop Éowyn,F,866678,1266430,Normal
1266425,Caramellocoon Osvaldo Famoso,M,1215825,1167020,Normal
1266427,Lioncave Vanilla Sky,F,1266428,1184342,Normal
1266438,Lurvtrollets Gusto Bumbi,M,1166991,1084204,Normal
1266449,Kanchana av Shine Coon,F,1266450,1266451,Normal
1266452,Dorian zum Limesgraben,M,1338699,1316154,Normal
1266454,Xenia von der Burgstette,F,1168589,878915,Normal
1266455,Yarisha von der Burgstette,F,1175734,978013,Normal
1266459,Spellbound's Thelma,F,1148252,1148246,Normal
1266458,Løve Hulen's Scorpius,M,1095756,947019,Normal
1266456,Skogsdal's Qvintus,M,991550,785341,Normal
1266457,Rubycat's Delilah,F,1191978,982074,Normal
1266462,CH Junari's Sir Clou,M,1147818,1169664,Normal
1266461,Stortassen's Filippa,F,1216260,1154163,Normal
1266463,Twister's Quinn,M,871706,987822,Normal
1266460,Summerplace LaTino,M,1214741,1191372,Normal
1266465,Red Line Soulmate,M,947018,1192872,Normal
1266466,Salsa Sky Beyrouth,F,1241090,1092523,Normal
1266467,Waldemaine Jamie,M,1180369,1139053,normal
1266469,Elaine von Sprockytown,F,1266470,883385,Normal
1266468,Twister's Eileen,F,1243310,1243839,Normal
1266471,Jamba'Laya vom Schillingsrott,F,1256170,626033,Normal
1266473,Big Giants Resort's Quat Zack,M,1193318,1266474,Normal
1266472,Dackestupet's Vega,F,1251762,984852,Normal
1266475,Twister's Gini,F,1243310,1266476,Normal
1266477,Big-Hannibals Donovan,M,1224010,1242266,Normal
1266478,Big-Hannibals Violetta,F,1168178,1266479,Normal
1266492,Muppet Show Iron,M,,,HCM Severe
1266494,Pippa von Silvanesti,F,951361,912199,Normal
1266490,Your Majesty Quintessa,F,1266491,1187787,Normal
1266497,Viva vom Kingsyard,F,1151282,1266498,Normal
1266499,Lulu Los Petolians,F,969344,969351,Normal
1266495,Beati Felis Prima Vista,F,1209145,1209148,Normal
1266496,Regnbykatten's Albiero,M,942680,1061927,Equivocal
1266501,IP Rusty Rufuuzz Endless Infinity,M,1266502,1273644,Normal
1266500,Javeliner's Glen Glassaugh,F,1246390,982149,Normal
1266504,IP Palace&Main's Spot On,F,1132839,1177824,Normal
1266505,Papadino's Pannacotta,F,1266506,1199216,Normal
1266508,CH Bonita vom Steinernen Tor,F,1168670,1272389,Normal
1266507,Gräfin Lea vom Julianenbrunnen,F,1272387,1272388,Normal
1266509,Bokbackens Rhea,F,1175695,1152365,Normal
1266506,IC Palace&Main's Brian by Lisuanto's,M,1132839,979489,Normal
1266513,Nicholas Koci Eden,M,1266514,1266515,Normal
1266510,CH Charles Parel,M,1266511,1266512,Normal
1266516,Kevin Edelweiss,M,,,Normal
1266523,CH Sagotassens Geisha,F,1062719,1177863,Normal
1266524,Eldorado von MeNaKris,M,1266525,1266526,Normal
1266527,Erilaards Silver Victoria,F,1266528,1266529,Normal
1266534,Blixten's Adora,F,1154164,969494,Equivocal
1266533,Jolly'Nhar vom Shillingsrott,M,1256170,626033,Normal
1266530,Spirit of New Heaven's Zoe,F,516104,866045,Normal
1266531,Barcelona Medium Color,F,1088216,1266532,Normal
1266535,Gentle Powers Hot Shot,M,1151866,1084173,Normal
1266538,Top Coon Nanu,M,885945,817254,Normal
1266537,Ulltrollet's Sunshine,F,1100212,1129653,Normal
1266536,Toby D'el Cuetu,M,980002,1090571,Normal
1266539,Twister's Frederike,F,871706,1243304,Normal
1266540,Cooligan's Devin,M,1172221,1198918,Normal
1266544,IC Sivkjær's Jaden,M,1188602,1137865,Normal
1266543,MiDivino Missy,F,979748,781714,Normal
1266542,Big Lynx's Amaranthe,F,1181017,807164,Normal
1266541,Big Lynx's Warner Drive,M,1181017,807164,HCM Severe
1266546,Yoomee vom Riedpark,F,973689,815389,Normal
1266547,Amazing Girl vom Riedpark,F,844930,1131152,Equivocal
1266545,Lancelot Estate Pearls,M,1177735,1105427,HCM Severe
1266548,Djengiboy Safine,F,988841,1070653,Normal
1266563,Lippedeich's Sansa,F,959357,1173319,Normal
1266571,Proud Princess Angels Shelter,F,1163800,1266572,Normal
1266570,IC Gryffindors Silver Amber,F,905674,922588,Normal
1266574,Bacardi of Living Sunshine,F,1175688,1151143,Normal
1266573,Phoebe von den Lippwiesen,F,1186699,1102306,Normal
1266575,Epona von Vincere,F,1266576,1266577,Normal
1266579,Bobby-Joy van Aijono,F,1266580,1266581,Normal
1266578,Absolut Vodka deep Topas,F,905674,1151232,Normal
1266582,Rhapsody of Golden de Maneki Neko,F,1266583,979441,Normal
1266584,CH Rhinestone's Aramis,M,1247090,1266585,Normal
1266589,Hanna von den Geestschmusern,F,1266590,1266591,normal
1266586,Coventry's Europe,F,905663,1097223,Normal
1266587,IC Silver Snowball from Sunnyplace,M,1127952,1266588,Normal
1266592,Allure's Luxor,F,,,Normal
1266595,Allure's Luna,F,,,Normal
1266599,Eschner's Starlight,F,1137031,1169119,Normal
1266597,Cathy vom Hölterberg,F,1133444,1266598,Normal
1266596,Profelis Nils Oscar,M,979266,954981,Normal
1266624,Jugurtha Adonis de Maison Blanche,M,1235558,1235559,Normal
1266678,Cuddly Castle's Scooter,M,1266680,989459,Normal
1266704,Sugar Viktoria Pride,F,1266705,985195,Normal
1266709,Noorah Cole of Noah's Ark,F,636001,1154335,Normal
1266707,Louisa,F,1266708,845417,Normal
1266706,Saxo Viktoria Pride,M,1266705,985195,Normal
1266727,Shanna Tootsie Pops,F,865189,865200,Normal
1266729,Country Dream's Eos,F,1140456,1084710,Normal
1266728,Tiger Lily of Noah's Ark,F,1105261,1083927,Normal
1266732,General Coon's Lady Di,F,1266733,1168399,Normal
1266730,Ballunz,M,1162548,1266731,Normal
1266734,Cooligan's Danelle,F,1172221,1198918,Normal
1266738,Zeus vom Donatushof,M,1103150,1098672,Normal
1266737,O'Malley of Great Falls,M,1078270,1109781,Normal
1266736,Giras Mia,F,1068759,1140976,Equivocal
1266735,Gyllenstrålen's Little White Wolverine,M,1180909,1172211,Normal
1266739,Nova Scotia's Joanna,F,1111849,1227881,Normal
1266740,Yoshj von Ukana,F,1131093,1258150,Normal
1266743,Aspenville Janda,F,1266744,1266745,Normal
1266741,Coonfusion Delaney,F,108579,894019,Normal
1266742,Emilia Edelweiss the Purrfect Coon,F,1168357,1085106,Normal
1266749,Clos Saint-Henri Bonnie Blue,F,864777,1093202,Normal
1266746,Selene Alara,F,1266747,1266748,Normal
1266750,Heavy's Vanellope,F,979740,1154153,Normal
1266796,JW,F,1146791,1266797,Normal
1266795,Irrblossets Lilly,F,968007,1084692,Normal
1266943,Colja iz Promorskij,M,798850,798852,Normal
1266941,Nikosh Kijrale vom Dohlenbaum,M,1107464,1107467,HCM Mild
1266940,Yoly Indiana van Meyta,F,1076819,1182298,Normal
1266939,Tommetje Indian van Meyta,M,1076819,1182298,Normal
