ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
109040,m,false,189929,false,326064,false
109130,m,false,319657,false,183279,false
109169,m,false,,false,,false
109179,f,false,,false,,false
109214,f,false,,false,,false
109361,f,false,,false,,false
109397,m,false,,false,,false
109416,m,false,209490,false,142039,false
109423,m,false,,false,,false
109426,f,false,,false,,false
109438,f,false,,false,,false
109483,m,false,,false,,false
109535,m,false,,false,,false
109606,f,false,,false,,false
109621,m,false,,false,,false
109677,m,false,,false,,false
109717,f,false,,false,,false
109755,f,false,232214,false,241675,false
109782,m,false,,false,,false
109803,f,false,,false,,false
109819,m,false,,false,,false
109825,m,false,386165,false,171289,false
109840,f,false,,false,,false
109952,f,false,301667,false,333042,false
109989,m,false,305754,false,314607,false
110056,f,false,,false,,false
110057,m,false,,false,,false
110073,f,false,,false,,false
110084,m,false,,false,,false
110116,m,false,,false,,false
110132,f,false,168130,false,308927,false
110156,f,false,,false,,false
110224,f,false,312936,false,310059,false
110251,f,false,373217,false,342261,false
110341,f,false,324505,false,145506,false
110342,m,false,373787,false,238005,false
110352,m,false,,false,,false
110353,m,false,,false,,false
110355,f,false,103003,false,199005,false
110394,f,false,,false,,false
110404,f,false,,false,,false
110412,f,false,,false,,false
110439,m,false,,false,,false
110443,f,false,345953,false,149030,false
110472,m,false,,false,,false
110501,m,false,,false,,false
110509,f,false,,false,,false
110516,m,false,,false,,false
110543,f,false,,false,,false
110545,m,false,,false,,false
110644,m,false,,false,,false
110663,m,false,,false,,false
110698,m,false,374846,false,408786,false
110707,f,false,,false,,false
110783,m,false,343894,false,278601,false
110785,f,false,306876,false,102684,false
110820,m,false,358765,false,140386,false
110847,m,false,175711,false,168554,false
110910,f,false,,false,,false
110973,f,false,406165,false,192123,false
110986,m,false,,false,,false
111011,m,false,,false,,false
111041,f,false,,false,,false
111046,m,false,286169,false,500268,false
111101,f,false,109006,false,101101,false
111138,f,false,187233,false,221945,false
111141,m,false,,false,,false
111200,m,false,,false,,false
111221,f,false,245588,false,180178,false
111239,m,false,,false,,false
111255,f,false,,false,,false
111318,m,true,146352,false,338838,false
111336,f,false,,false,,false
111368,f,false,,false,,false
111420,m,false,387667,false,212511,false
111444,f,false,,false,,false
111452,m,false,,false,,false
111454,m,false,,false,,false
111480,m,false,,false,,false
111536,m,false,,false,,false
111557,m,false,,false,,false
111573,f,false,350324,false,303134,false
111602,f,true,244205,true,166312,true
111621,m,false,200600,false,254140,false
111626,f,false,,false,,false
111654,f,false,144509,false,151055,false
111706,f,false,178706,false,246619,false
111807,m,false,257566,false,386264,false
111825,m,false,160961,false,411860,false
111902,f,false,,false,,false
111916,f,false,,false,,false
111937,f,false,,false,,false
112001,f,false,104338,false,100885,false
